"","t_3_3_12","t_3_5_5","t_3_5_21","t_3_6_17","t_3_7_2","t_3_8_14","t_3_9_18","t_3_10_22","t_3_11_12","t_3_12_16","t_4_2_19","t_4_3_17","t_4_4_22","t_4_5_19","t_4_6_17","t_4_7_14","t_4_8_25","t_4_9_22","t_4_10_14","t_4_11_17","t_4_12_15","t_5_1_19","t_5_2_16","t_5_3_16","t_5_4_20","t_5_5_4","t_5_5_11","t_5_6_14","t_5_7_19","t_5_8_17","t_5_9_15","t_5_10_20","t_5_11_17","t_5_12_13","t_6_1_18","t_6_2_22","t_6_3_29","t_6_4_19","t_6_6_20","t_6_7_25","t_6_8_24","t_6_9_13","t_6_10_15","t_7_2_14","t_7_4_4","t_7_5_21","t_7_6_NA","t_7_8_NA","t_7_9_20","t_7_11_14","t_7_12_17","t_8_3_19","t_8_4_22","t_8_5_14","t_8_6_18","t_8_7_9","t_8_8_20","t_8_9_22","t_8_10_20","t_8_11_20","t_8_12_11","t_9_2_18","t_9_3_11","t_9_4_23","t_9_5_13","t_9_6_18","t_9_7_9","t_9_8_19","t_9_9_24","t_9_10_22","t_9_11_12","t_9_12_23","t_10_1_28","t_10_2_11","t_10_3_24","t_10_4_27","t_10_5_17","t_10_6_29","t_10_7_21","t_10_8_11","t_10_9_15","t_10_10_21","t_10_11_23","t_10_12_16","t_11_1_11"
"890_ARISA_547.8",0.00180408840033162,na,0.00187311613320026,0.00162907982491142,0,na,0.000447024586352249,0.000318013992615675,na,na,0.0028891646823869,0.000506029349702283,0,0,0,0,0,0,0.0015390877280005,0.00537922592748895,0.000612024480979239,na,na,0.00231114097959976,na,na,0,na,na,na,0,0.000633027853225542,na,na,0.0042621875362516,0.000113007910553739,0,0.0033061454704007,0.00188607544301772,0,0,0.00185113328159627,na,na,na,na,na,na,na,na,0.00315928749516206,0.000963050078604087,0.00207010143497031,0.00108304765409678,0.00285811718280449,0.00446720102404608,0.00335314753849169,0.00424115692280614,0.00471733493078009,0,na,0.000325016575845368,na,0.00368422842216217,0.00358118264031466,0.00394822110038162,0.00172907780850138,0,0.0020871168785452,na,na,na,0.00295815678230946,0.00282913862779276,0.000425022526193888,0.00122505512748074,0,na,0,0,na,0.000471023080130926,0,0,0
"890_ARISA_549.8",0,na,0,0,0,na,0,0,na,na,0.000584033289897524,0.000600034802018517,0,0,0,0,0,0,0,0,0,na,na,0,na,na,0,na,na,na,0,0,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0.00332230232951199,0,0,0,0.000289011849485829,0.000238010710481972,0.000721031725395917,0,0.000190013490957858,0,na,0,na,0,0.00734337451210012,0.0015010840607074,0.00265411943537459,0,0,na,na,na,0,0,0.00273914517469426,0,0,na,0,0,na,0,0,0,0
"890_ARISA_550.8",0,na,0,0,0,na,0,0.00100804435395157,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,na,na,0,na,na,na,0,0,na,na,0.000369016236714415,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0.00288126219485973,0,0.00327216033585646,0,0,0,0,0,0,0,na,0,na,0.000565035032171995,0,0,0.00745533549009705,0.00648933095587875,0,na,na,na,0,0,0.00443723517346419,0,0.00250213261302849,na,0,0,na,0,0,0,0
"890_ARISA_552.8",0.000800039201920894,na,0.0176330932517816,0.0302974845767443,0.000465019530820294,na,0.0117546465055578,0.00723231822200177,na,na,0.024256382613809,0.0230753383696254,0.00275012650581927,0.0115165758287914,0.0240002720144168,0.0196400016400836,0.0181098330523204,0.0132785709785521,0.0127217251383329,0,0.0118044721788872,na,na,0.00979859771446058,na,na,0.040108045510321,na,na,na,0.0390391711751353,0.0198438731304177,na,na,0.00331614591042006,0,0.00502921625629902,0.0241710635267952,0.0151236049441978,0.00965541518285286,0.0242890201388458,0.0150930867022426,na,na,na,na,na,na,na,na,0,0.010275534327785,0.0189749297715588,0.0326284356511687,0.0220539042100726,0.0217269777139971,0.015348675341715,0.00734727184905842,0.00859161000431031,0.0134646463030225,na,0,na,0.00129608035698213,0.0599540576569405,0.0126467082156601,0.0164067383032236,0.0108425529702015,0.0211321834022705,na,na,na,0.0211691219634641,0,0.00697536969459381,0,0.00727938580744779,na,0.0368422157931212,0.0135706106774805,na,0.00534626196683637,0.0166758671450915,0.0097955387546315,0.0110355076333511
"890_ARISA_554.9",0,na,0.00143608903752033,0,0,na,0.000816044882468536,0,na,na,0,0,0,0,0,0,0,0.00232309989329541,0,0,0,na,na,0,na,na,0.00626231937828829,na,na,na,0.0124053721611648,0,na,na,0,0,0,0,0,0,0,0.00266019153379043,na,na,na,na,na,na,na,na,0,0.00146807633996968,0.00278513647168711,0,0,0,0,0,0.000423030035132494,0,na,0.00321016371834964,na,0,0,0.00074004144232077,0.00251411313509108,0.00154707890102395,0.000735041162305089,na,na,na,0.000735038957064724,0,0.00114406063521367,0,0.00156808310840475,na,0.00462915276204115,0,na,0,0,0,0
"890_ARISA_556.7",0,na,0,0,0,na,0,0,na,na,0,0.0204581865748213,0,0,0,0,0,0.00692529778780488,0.000965055008135464,0,0,na,na,0,na,na,0.00105505380774419,na,na,na,0,0,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0.00191009741496816,na,0,0.00224711460284475,0,0,0,0,na,na,na,0.000577030582620879,0,0,0,0,na,0,0,na,0,0,0,0
"890_ARISA_557.8",0,na,0.000359022259380082,0,0,na,0,0,na,na,0,0.000262015196881419,0,0,0,0,0,0.00444619118622101,0,0,0,na,na,0,na,na,0,na,na,na,0,0,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0.000678029833312666,0,0,0,0,0,0,na,0.000571029122485247,na,0,0.00247912643544821,0,0.00071303208644389,0,0.00052302928964022,na,na,na,0,0,0,0,0,na,0,0,na,0,0,0.000176009680532429,0
"890_ARISA_559",0,na,0.000600037202306543,0,0,na,0,0,na,na,0.000287016359932516,0,0,0.00132106605330267,0,0,0,0,0,0,0,na,na,0,na,na,0,na,na,na,0,0,na,na,0,0,0,0,0.000327013080523221,0.000289012427534384,0.00143606031453321,0.00059904313110544,na,na,na,na,na,na,na,na,0.000354032216931741,0.000418021737130331,0,0.000644028337246839,0.000984040345654172,0.000423019035856614,0,0,0,0,na,0.00267613648296063,na,0.000417025855603047,0.00247912643544821,0.00065903690606674,0,0,0,na,na,na,0.00346118344272246,0.00529625951671632,0,0,0,na,0,0,na,0.000849041603038549,0.000231012012624657,0.000510028051542835,0
"890_ARISA_559.4",0,na,0,0,0,na,0,0,na,na,0,0.000290016820975617,0,0,0,0,0,0,0,0,0,na,na,0,na,na,0,na,na,na,0,0,na,na,0,0,0,0,0,0,0,0.000180012960933187,na,na,na,na,na,na,na,na,0,0,0,0,0.000840034441412098,0.000422018990854588,0,0,0,0,na,0,na,0,0.00107505482779622,0.000249013944780908,0,0,0,na,na,na,0,0.00216610613920082,0,0,0,na,0,0,na,0,0,0,0
"890_ARISA_561.8",0,na,0.000139008618534349,0,0.00122705153616452,na,0,0,na,na,0.0114206509771057,0.00405023491362499,0.000709032615500313,0,0,0.000654033355701141,0,0,0.0118166735503924,0,0,na,na,0,na,na,0.000850043352210963,na,na,na,0,0,na,na,0,0.000144010080705649,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0.00696463378167413,0,0,0,0,0,0,0,0,0,na,0.00796040598070502,na,0,0.0012390631922228,0.000665037242085557,0,0,0.00526129463249942,na,na,na,0.000993052631789485,0,0,0,0.00222611798425317,na,0,0.000217009765439445,na,0.00226011074542653,0.000253013156684148,0.000164009020496127,0
